data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,full_context,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,28,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.63923144340515
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,29,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.66841769218445
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,30,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61901831626892
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,31,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.673752784729004
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,32,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.702077865600586
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,33,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.623055934906006
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,34,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.665925979614258
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,35,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.62997555732727
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,36,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.657557487487793
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,37,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.639151573181152
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,38,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.643192052841187
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,39,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.67935848236084
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,40,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.661797046661377
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,1,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.643659830093384
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,2,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.631989240646362
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,3,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.683499097824097
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,4,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.650204181671143
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,5,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.675438165664673
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,6,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.655118227005005
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,7,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61859130859375
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,8,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.639171600341797
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,9,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.664300680160522
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,10,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.639272928237915
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,11,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.664932250976562
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,12,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.638058185577393
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,13,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.6592013835907
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,14,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.637590646743774
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,15,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.69686484336853
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,16,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.6651930809021
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,17,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.670149564743042
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,18,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.62047266960144
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,19,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.635122537612915
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,20,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.65217685699463
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,21,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.619958639144897
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,22,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.66181230545044
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,23,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.670047998428345
